"","Sample_ID","collembola_biomass","juv_oribatids_biomass","oribatids_biomass","prostigs_biomass","astigmata_biomass","zerconidae_biomass","mesostigs_biomass","total_mesofauna_biomass"
"1","ExRes 1",0.007114750325,1.02111720683437,1.78242950691855,0.256574702497984,0.026079207023201,0.00601144332673697,0.0283819810496278,3.12770879797546
"2","ExRes 10",0,0.396465415178274,0.322894461443243,0.165359995372921,0.0039727538954262,0,0.0158529984241164,0.904545624313981
"3","ExRes 11",0.0158630394521438,0.749639127454357,1.23519413103271,0.198020309811722,0.0132150388914246,0.0134031073896266,0.0210934778478562,2.24642823187984
"4","ExRes 12",0.00426673270978423,0.373394158640253,0.722248121066778,0.165704495363281,0,0,0,1.2656135077801
"5","ExRes 13",0,0.225378031083458,0.610321286496669,0.07144145907878,0,0,0,0.907140776658907
"6","ExRes 14",0.046621859853252,0.285600995486789,0.710269371741768,0.0969977533833841,0,0.0196960297615854,0,1.15918601022678
"7","ExRes 15",0.00630163600214286,0.485297515721978,1.19470950734,0.139847310372527,0,0.0532442123225275,0.0670355361934066,1.94643571795258
"8","ExRes 16",0,0.373421265294238,0.916088506081942,0.0577409493824864,0,0.00879350875018149,0,1.35604422950885
"9","ExRes 17",0,0.296226032521267,0.539278597063194,0.220939327151042,0,0.0504710762640625,0,1.10691503299957
"10","ExRes 18",0.0170162871274481,0.513754906463835,1.26738471475979,0.141610963396513,0.0113406209121662,0.0071887586370178,0.0339404699198813,1.99223672121665
"11","ExRes 19",0.0169659430826923,0.987351370492049,2.2400803262625,0.305915991439904,0.0593621110912722,0.0645074110830621,0.0676801086568047,3.74186326210828
"12","ExRes 2",0.0521317160177273,0.80294679874,1.30603471143305,0.3181526310975,0.00521153079190909,0.0440474847395455,0.0277283354254545,2.55625320824518
"13","ExRes 20",0.035776667855303,0.903494058297014,2.45703403581734,0.226846795791444,0.122624253927273,0.0172735234272727,0.0543692851479501,3.81741862026359
"14","ExRes 21",0.00835931306406706,0.687654875014213,1.41501672698797,0.0695669018434767,0,0.0282520310282799,0.0333467590758018,2.24219660701381
"15","ExRes 22",0.00706217827826355,1.13717834796921,1.62580542562894,0.117544075528633,0.0141199110125616,0.0596702379476601,0,2.96138017636527
"16","ExRes 23",0,1.64239117924091,1.26065126586201,0.206592617595779,0,0,0.0198059538753247,3.12944101657403
"17","ExRes 24",0,0.23755822447929,0.650963513614744,0.0941279973661243,0.00188451146321499,0.00955665349378698,0.0150400241459566,1.00913092456312
"18","ExRes 25",0,0.739054357510095,1.89067745668711,0.264497436779394,0.00226947104952494,0.0345265319811164,0,2.93102525400725
"19","ExRes 26",0,1.32102460454467,2.1983533397929,0.0935743032639706,0.00140506957625,0,0,3.61435731717779
"20","ExRes 27",0,0.262223616705631,0.629644199814324,0.143311995989865,0.00860763344009009,0.0174602642210811,0,1.06124771017099
"21","ExRes 28",0,0.148984269297461,0.394347474102461,0.0745670229134766,0.0104502049733594,0.0151413228792187,0,0.643490294165977
"22","ExRes 29",0,0.283140286520671,0.453245824769066,0.154743497615516,0.00743538764085603,0.00942650451624514,0,0.907991501062354
"23","ExRes 3",0.119220140581081,1.28329594912968,2.42170846082432,0.496079986118763,0.0417139159019751,0.0805858348665281,0.0634119936964657,4.50601628111882
