Sample_ID,extraction_type,tray_weight,wet_weight_tin,dry_weight_tin,wet_weight ,dry_weight ,pct_moisture
ExRes 41,Wet,4.47,23.24,5.65,18.77,1.18,1490.68
ExRes 42,Wet,4.58,25.37,6.07,20.79,1.49,1295.3
ExRes 43,Wet,4.37,12.86,5.37,8.49,1,749
ExRes 44,Wet,4.43,19.89,5.27,15.46,0.84,1740.48
ExRes 45,Wet,4.45,19.28,5.54,14.83,1.09,1260.55
ExRes 5,Wet,6.61,18.51,8.39,11.9,1.78,568.54
ExRes 6,Wet,4.53,15.47,5.21,10.94,0.68,1508.82
ExRes 7,Wet,4.54,21.41,5.98,16.87,1.44,1071.53
ExRes 8,Wet,6.62,22.72,8.47,16.1,1.85,770.27
ExRes 9,Wet,4.48,20.06,5.61,15.58,1.13,1278.76
