"","Label","X.Msgs","Obs.","Port.","X.Raw","IV.Date","Lin_Flux","Lin_FluxCV","Exp_Flux","Exp_FluxCV","Sampling_Time"
"64","ExRes 15",0,5,5,92,"9/28/21 20:29",0.05,3.6,0.07,2.4,"W1"
"65","ExRes 12",0,6,6,93,"9/28/21 20:31",0.11,2.6,0.13,2.2,"W1"
"66","ExRes 2",0,7,7,94,"9/28/21 20:33",0.06,2.9,0.08,2.3,"W1"
"67","ExRes 34",0,8,8,93,"9/28/21 20:36",0.04,3.3,0.06,2.4,"W1"
"68","ExRes 30",0,9,9,94,"9/28/21 20:38",0.08,3.1,0.12,2.2,"W1"
"69","ExRes 6",0,10,10,95,"9/28/21 20:40",0.05,3.7,0.07,2.4,"W1"
"70","ExRes 40",0,11,11,93,"9/28/21 20:42",0.04,3,0.05,2.6,"W1"
"71","Dummy",0,1,1,94,"9/28/21 21:38",0,14.1,0,10.6,"W1"
"72","ExRes 36",0,2,2,92,"9/28/21 21:40",0.32,3.1,0.49,2,"W1"
"73","ExRes 19",0,3,3,92,"9/28/21 21:43",0.14,3.1,0.21,2.1,"W1"
"74","ExRes 18",0,4,4,93,"9/28/21 21:45",0.05,3,0.07,2.4,"W1"
"75","ExRes 31",0,5,5,92,"9/28/21 21:47",0.2,6.1,0.2,6.1,"W1"
"76","ExRes 7",0,6,6,92,"9/28/21 21:50",0.48,3.1,0.82,1.8,"W1"
"77","ExRes 16",0,7,7,92,"9/28/21 21:52",-0.05,29.4,-0.05,29.4,"W1"
"78","ExRes 5",0,8,8,93,"9/28/21 21:54",0.23,3.1,0.31,2.3,"W1"
"79","ExRes 20",0,9,9,91,"9/28/21 21:57",0.15,9,0.35,3.9,"W1"
"80","ExRes 11",0,10,10,91,"9/28/21 21:59",0.36,3.4,0.53,2.3,"W1"
"81","ExRes 8",0,11,11,93,"9/28/21 22:01",-1.07,5,-1.07,5,"W1"
"82","Dummy",0,1,1,94,"9/29/21 1:29",0,3.9,0,3.9,"W1"
"83","ExRes 38",0,2,2,92,"9/29/21 1:31",0.13,2.1,0.13,2.1,"W1"
"84","ExRes 28",0,3,3,91,"9/29/21 1:33",-0.02,3,-0.02,3,"W1"
"85","ExRes 26",0,4,4,91,"9/29/21 1:36",0.34,4,0.38,3.7,"W1"
"86","ExRes 10",0,5,5,92,"9/29/21 1:38",0.61,2,0.61,2,"W1"
"87","ExRes 32",0,6,6,91,"9/29/21 1:40",0.1,4.2,0.1,6.5,"W1"
"88","ExRes 27",0,7,7,91,"9/29/21 1:43",0.42,5.7,1.28,2,"W1"
"89","ExRes 9",0,8,8,92,"9/29/21 1:45",0,2727.2,0,2727.2,"W1"
"90","ExRes 41",0,9,9,92,"9/29/21 1:47",0.23,4.3,0.38,2.6,"W1"
"91","ExRes 35",0,10,10,93,"9/29/21 1:50",0.07,4.1,0.05,14.6,"W1"
