"","node","ExRes_11_model","ExRes_13_model","ExRes_16_model","ExRes_17_model","ExRes_18_model","ExRes_19_model","ExRes_20_model","ExRes_21_model","ExRes_24_model","ExRes_25_model","ExRes_29_model","ExRes_3_model","ExRes_31_model","ExRes_33_model","ExRes_36_model","ExRes_37_model","ExRes_43_model","ExRes_5_model","ExRes_7_model","ExRes_8_model"
"1","bactivorous_nematodes",0.421126903174797,0.00810526710404048,0.221356969240985,0.495313850317184,0.13409256209928,1.12416723677894,0.411644412790324,0.248610185286093,0.10844769412251,0.340948649298747,0.117379630685086,1.00260302212701,0.057610915068883,0.0116779417287563,0.166334029927622,0.857857165624534,0.0433145483799713,2.85090642688128,0.152573670823863,0.903305532228713
"2","basal_resource",10.2981983954305,2.12465513185407,5.59769144549523,4.23420524528035,8.90529857126587,19.8032292287378,17.2663997091662,6.45006226806606,2.94333634890709,7.88317690989197,2.55290976481623,14.8059410473588,7.18290571421049,3.69055708098787,5.07485914330415,9.46640715986372,5.14717166042545,40.1226223879862,4.15910334541869,13.6422695064143
"3","collembola",0.279930521721625,NA,NA,NA,0.340934570095438,0.339601339950093,0.694099350377363,0.10612249285422,NA,NA,NA,1.44859356535223,NA,0.133281672899347,0.072983240605601,NA,0.159618453694874,4.34182340643909,0.0591678752168123,0.47535532433102
"4","fungivorous_nematodes",2.84950808676597,0.0443923131190314,1.56112157254452,3.75609217611658,1.01313224136337,8.64721117781608,2.93647823527997,1.94562005902538,0.791507606277199,2.58105350865761,0.837737295983743,7.15699396379404,0.323399406746411,0.0639597486037458,1.21634438409845,6.73110789991431,0.237232529052284,20.6937660231314,1.08560063807712,6.58897739342077
"5","juv_oribatids",9.1070807379088,1.54544935600086,3.84957248927882,2.03126422300298,7.46880689990023,14.3349156008832,12.5610971697341,6.21500989711811,2.16525011828086,5.06780130864065,1.9415333932846,10.899590353839,10.363615223511,4.37809080854807,4.16541856484944,7.00534269751996,4.64185497861034,27.2252861558843,4.86277271205087,8.42502562955482
"6","mesostigs",0.277854207765759,NA,NA,NA,0.447081436679475,0.891517421070905,0.716180364401583,0.292181127140358,0.13177925918362,NA,NA,0.555609849530936,NA,0.336302438285714,NA,0.12326952842453,0.156468581747295,2.11907797694772,NA,0.521337177027623
"7","omnivorous_nematodes",0.411701305133724,0.0069372571692721,0.222381474765418,0.522423376012974,0.141079969401354,1.19724638017732,0.416698215193268,0.267913814504271,0.111468213276047,0.359189588347353,0.11885904628734,1.01537403928447,0.0500514638298486,0.00999509132973173,0.171188871856379,0.926121248709344,0.0370727030423902,2.91958347487204,0.154183607325265,0.928104444983199
"8","oribatids",12.7335258799348,4.18506025026287,9.44388935102245,3.6979103798619,13.0653762512091,23.0928241083433,25.3293840190147,9.70297184220325,4.46374980764396,12.9646454172831,3.10797136984503,16.6060008742239,8.40643462425423,4.46727428439693,6.76794522982043,11.0527948623179,9.66479621528311,26.459850970835,4.70297723355295,14.5428857706522
"9","predatory_nematodes",0.349328280183107,0.00571506122992897,0.192603545644773,0.510673776031637,0.126243557932239,1.08015826435596,0.362905630811078,0.265656922524065,0.107032780398778,0.350833442581072,0.112914464559691,0.964684238115045,0.0383650731341835,0.00823417060104196,0.150867516654514,0.919391088305285,0.0305412882720699,2.56397344042362,0.134113290867189,0.816958158819351
"10","prostig_astig",3.7276098030841,0.751155912599743,0.912712404964217,2.3230192111881,3.06450415717193,7.3116438307849,6.78005088585972,0.883160253383635,1.22624785203201,2.80486348802978,1.70519513640985,6.53450652008824,1.6248934899363,1.89304860647954,2.12185578276085,1.96318167588504,0.885572073167161,28.9856429289688,1.0242328385523,6.95201547549313
"11","zerconidae",0.117701778474069,NA,0.0772217657320802,0.294815175637698,0.0631293663477386,0.566483337670686,0.151690527338239,0.165027736800111,0.055822991836724,0.201678789984934,0.0550627565393367,0.470723606839402,NA,NA,0.0685172188701708,0.57440004699891,NA,1.13703891061764,0.0555472492406999,0.368072603100138
