"","node","ExRes_11_model","ExRes_13_model","ExRes_16_model","ExRes_17_model","ExRes_18_model","ExRes_19_model","ExRes_20_model","ExRes_21_model","ExRes_24_model","ExRes_25_model","ExRes_29_model","ExRes_3_model","ExRes_31_model","ExRes_33_model","ExRes_36_model","ExRes_37_model","ExRes_43_model","ExRes_5_model","ExRes_7_model","ExRes_8_model"
"1","bactivorous_nematodes",0.170068225479633,0.0030637909653273,0.089392975543855,0.187228635419896,0.0541520475522227,0.453984596234598,0.166238808976775,0.0939746500381431,0.0409932283783087,0.128878589434926,0.0443695003989625,0.378983942364009,0.0232656380301497,0.00441426197346988,0.0671724677131947,0.324270008606074,0.0163728992876292,1.15131233215688,0.0616154732844455,0.364791628779669
"2","basal_resource",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","collembola",0.0966796042869977,NA,NA,NA,0.117748572473861,0.117288114778564,0.23972109263983,0.0344898101776214,NA,NA,NA,0.470792908739475,NA,0.0433165436922879,0.0252062218079564,NA,0.0518759974508339,1.49953554988187,0.0204348090636305,0.164173468364204
"4","fungivorous_nematodes",0.728806829398492,0.0106275197606961,0.399281570343971,0.899208466962308,0.259124618743385,2.21166123055152,0.751050822488099,0.465781442130675,0.189486920942762,0.617904209972632,0.200554308658508,1.71338435493229,0.0827145209219976,0.0153119638157367,0.311099343128222,1.61142723123949,0.0567934674551168,5.29275844966967,0.27765955910233,1.68523533776927
"5","juv_oribatids",3.14531247445156,0.502271040700278,1.32952685062223,0.660160872475967,2.57950183901854,4.95084980107703,4.33822612951108,2.01987821656339,0.70370628844128,1.64703542530821,0.630998352817496,3.54236686499766,3.579281789744,1.42287951277812,1.43861060974205,2.27673637669399,1.50860286804836,9.40279707965777,1.67945581156101,2.90975110167935
"6","mesostigs",0.115155009283272,NA,NA,NA,0.185290218943188,0.36948404605831,0.296816654944049,0.11395063958474,0.0513939110816116,NA,NA,0.216687841317065,NA,0.131157950931429,NA,0.0480751160855667,0.0610227468814452,0.878239153078123,NA,0.216065064996036
"7","omnivorous_nematodes",0.166261784426247,0.00262228320998485,0.0898067126744461,0.197476036132904,0.0569738477070185,0.483496935967913,0.168279740582222,0.101271421882615,0.0421349846183458,0.135773664395299,0.0449287194966143,0.383811386849528,0.0202128231942171,0.00377814452263859,0.0691330509615777,0.350073832012132,0.0140134817500235,1.17904692615911,0.062265631329121,0.374806441545571
"8","oribatids",4.39777783315309,1.36014458133543,3.26163606516262,1.20182087345512,4.51238899588009,7.97556866229854,8.74800935864712,3.15346584871606,1.45071868748429,4.213509760617,1.01009069519963,5.39695028412278,2.90333032617868,1.451864142429,2.33744524402308,3.59215833025331,3.14105876996701,9.1384387297973,1.62426724715218,5.02267645861015
"9","predatory_nematodes",0.117560843443142,0.00180024428742763,0.0648176416300181,0.160862239449966,0.0424852495251681,0.363509981336767,0.122130083559375,0.0836819305950805,0.0337153258256151,0.110512534413038,0.0355680563363026,0.303875535006239,0.0129111515221393,0.00259376373932822,0.0507720488498103,0.289608192816165,0.00962050580570202,0.862864237799521,0.0451336822286987,0.274934197020111
"10","prostig_astig",1.28740459769116,0.244125671594916,0.315223483302492,0.754981243636132,1.05838780076247,2.52522242983818,2.34162617444937,0.287027082349681,0.398530551910402,0.91158063360968,0.554188419333202,2.12371461902868,0.5611894646193,0.615240797105851,0.732825331692115,0.638034044662639,0.287810923779327,10.010771498378,0.353739295450809,2.40101758477106
"11","zerconidae",0.0731711938168607,NA,0.0480061462155994,0.172466877748054,0.0392453806599333,0.352163430596384,0.0943008433682538,0.0965412260280649,0.0326564502244836,0.117982092141186,0.032211712575512,0.27537331000105,NA,NA,0.0425948253861436,0.336024027494363,NA,0.706858431408027,0.0345318362464689,0.228818222878851
