"","Sample_ID","collembola_biomass","juv_oribatids_biomass","oribatids_biomass","prostigs_biomass","astigmata_biomass","zerconidae_biomass","mesostigs_biomass","total_mesofauna_biomass"
"1","ExRes 1",0.007114750325,1.02111720683437,1.78242950691855,0.256574702497984,0.026079207023201,0.00601144332673697,0.0283819810496278,3.12770879797546
"2","ExRes 1",0.0285297948355721,4.09462919755473,7.14745364465846,1.02885179210634,0.10457632269005,0.0241055886634328,0.113810331970149,12.5419566724787
"3","ExRes 10",0,0.396465415178274,0.322894461443243,0.165359995372921,0.0039727538954262,0,0.0158529984241164,0.904545624313981
"4","ExRes 10",0,1.71801679910586,1.39920933292072,0.716559979949324,0.0172152668801802,0,0.0686963265045045,3.91969770536059
"5","ExRes 11",0.0619944731021622,2.92967075215946,4.82727219857649,0.77388477834527,0.0516458006405405,0.0523807926632432,0.0824355918054054,8.77928438729257
"6","ExRes 11",0.0158630394521438,0.749639127454357,1.23519413103271,0.198020309811722,0.0132150388914246,0.0134031073896266,0.0210934778478562,2.24642823187984
"7","ExRes 12",0.018498350845,1.61884435229839,3.13129507972177,0.718409166994355,0,0,0,5.48704694985952
"8","ExRes 12",0.00426673270978423,0.373394158640253,0.722248121066778,0.165704495363281,0,0,0,1.2656135077801
"9","ExRes 13",0,0.225378031083458,0.610321286496669,0.07144145907878,0,0,0,0.907140776658907
"10","ExRes 13",0,0.901512124333832,2.44128514598668,0.28576583631512,0,0,0,3.62856310663563
"11","ExRes 14",0.046621859853252,0.285600995486789,0.710269371741768,0.0969977533833841,0,0.0196960297615854,0,1.15918601022678
"12","ExRes 14",0.231696515634343,1.41935040181313,3.52982354441364,0.482049441056818,0,0.0978832994212121,0,5.76080320233914
"13","ExRes 15",0.0213973461266791,1.64783857950373,4.05666287940075,0.474854673279851,0,0.180791914975746,0.227620663940299,6.60916605722705
"14","ExRes 15",0.00630163600214286,0.485297515721978,1.19470950734,0.139847310372527,0,0.0532442123225275,0.0670355361934066,1.94643571795258
"15","ExRes 16",0,0.979786272272024,2.40364174691024,0.151501252903571,0,0.0230724920064286,0,3.55800176409226
"16","ExRes 16",0,0.373421265294238,0.916088506081942,0.0577409493824864,0,0.00879350875018149,0,1.35604422950885
"17","ExRes 17",0,0.797318666973131,1.45151622387103,0.594677815135514,0,0.135847382841589,0,2.97936008882126
"18","ExRes 17",0,0.296226032521267,0.539278597063194,0.220939327151042,0,0.0504710762640625,0,1.10691503299957
"19","ExRes 18",0.0170162871274481,0.513754906463835,1.26738471475979,0.141610963396513,0.0113406209121662,0.0071887586370178,0.0339404699198813,1.99223672121665
"20","ExRes 18",0.0971947247788136,2.93449836403919,7.23912964193305,0.808862621434322,0.0647760889389831,0.0410612145877119,0.193863362084746,11.3793860177968
"21","ExRes 19",0.0802026400272727,4.66747920596241,10.5894706332409,1.44614832317045,0.280620888795105,0.30494412511993,0.319942331832168,17.6888081481483
"22","ExRes 19",0.0169659430826923,0.987351370492049,2.2400803262625,0.305915991439904,0.0593621110912722,0.0645074110830621,0.0676801086568047,3.74186326210828
"23","ExRes 2",0.585151914484694,9.01266814912245,14.6595732915954,3.57110096129847,0.058496774194898,0.494410542994898,0.311236418040816,28.6926380517316
"24","ExRes 2",0.0521317160177273,0.80294679874,1.30603471143305,0.3181526310975,0.00521153079190909,0.0440474847395455,0.0277283354254545,2.55625320824518
"25","ExRes 20",0.108490327928784,2.73978468488986,7.45078969780284,0.687897580751351,0.371849764611892,0.0523807926632432,0.164871183610811,11.5760640322588
"26","ExRes 20",0.035776667855303,0.903494058297014,2.45703403581734,0.226846795791444,0.122624253927273,0.0172735234272727,0.0543692851479501,3.81741862026359
"27","ExRes 21",0.00835931306406706,0.687654875014213,1.41501672698797,0.0695669018434767,0,0.0282520310282799,0.0333467590758018,2.24219660701381
"28","ExRes 21",0.023310929926626,1.91760668398272,3.94594095412094,0.193995506766768,0,0.0787841190463415,0.0929913688048781,6.25262956264827
"29","ExRes 22",0.00706217827826355,1.13717834796921,1.62580542562894,0.117544075528633,0.0141199110125616,0.0596702379476601,0,2.96138017636527
"30","ExRes 22",0.0251512664997807,4.04995095855702,5.79014914741535,0.418621883023026,0.0502867006236842,0.212509794796053,0,10.5466697509149
"31","ExRes 23",0,5.54667196498026,4.25746260839364,0.697703138371711,0,0,0.0668885284385965,10.5687262401842
