"","interaction(destructive_time, moisture_tx, temp_tx)","mean_meso","se_meso","mean_zerc","se_zerc","mean_miteNP","se_miteNP","mean_juvorib","se_juvorib","mean_orib","se_orib","mean_coll","se_coll","mean_prednem","se_prednem","mean_bactnem","se_bactnem","mean_fungnem","se_fungnem","mean_omninem","se_omninem","mean_protists","se_protists","mean_bact","se_bact","mean_fung","se_fung","mean_labile","se_labile","mean_recal","se_recal"
"1","T0.Ambient.12",0.00292190979813312,0.00213091128599127,0.00884226308296978,0.0039906631675921,0.0408786655037238,0.00785107232182969,0.310279918975674,0.039267732767479,0.363186507320776,0.0430394470471177,0.00401294976544797,0.00224126664906547,0.00185659047891491,0.000444579241193655,0.00064178182747406,0.000153681105828493,0.00598780419317078,0.00143383986659885,0.000698205101646752,0.000167192225648529,2.76253906813047,0.0576626106960199,11.668794364999,0.243563305410988,86.6199991208012,1.80802340332964,135707,0,135707,0
"2","T1.Ambient.12",0.00563186221608238,0.00194929587945432,0.00527721709972728,0.00272170735348084,0.039949546324635,0.0161439639647773,0.13632753734111,0.0268387934767453,0.286686978860224,0.0539888543397413,0.00554469184618903,0.00411923174481338,0.00132473925817794,0.000895621746621563,0.00045793274914184,0.000309596417626916,0.00427249809533219,0.00288852480437681,0.000498192638018997,0.000336815081052459,2.51688908649905,0.134961845219625,10.6311840178763,0.57007049679641,78.917591781694,4.23175731671265,135707,0,135707,0
"3","T2.Ambient.12",0.00212625884438244,0.000983157347588018,0.00326565460791469,0.00133507497895888,0.0344500009665874,0.00953790694860373,0.132392017730447,0.0291047513386455,0.211421112026204,0.038176228235792,0.00395480445846945,0.00154159020404485,0.0014197725086112,0.000397037187978198,0.000490783619501524,0.000137246880757858,0.00457899567888519,0.0012805090654187,0.000533931645103293,0.000149313159438304,2.34650466823961,0.113100487810611,9.91149076082679,0.477729473609301,73.5751521651502,3.54628981277983,135707,0,135707,0
"4","T1.High.12",0.00107149063879124,0.00065675975663598,0.00617628312621347,0.00338535702511655,0.0267486413234511,0.00501329100170328,0.0727902675032508,0.0249522938373745,0.142294790406075,0.0390843644113012,0,0,0.000528068170553531,0.000153119530506944,0.000182541362447793,5.29299989560167e-05,0.00170310514991356,0.000493835219580398,0.000198589777813161,5.75834243339366e-05,2.74694958211423,0.059683411311753,11.6029453391234,0.252099042374741,86.1311874762537,1.8713860357635,135707,0,135707,0
"5","T2.High.12",0.00404289785312478,0.00228934519492374,0.00358049484906395,0.0016979896720108,0.0297828329238378,0.00592666799244808,0.0964699593668465,0.02374344767362,0.200143884264432,0.0362002244691504,0.0023670544376753,0.00156987880121161,0.000581113494627039,0.000165586468922449,0.000200877945237309,5.72395408879487e-05,0.00187418488856496,0.000534043109779207,0.000218538450558846,6.22718465263789e-05,2.62014669967057,0.112646762747036,11.0673377970641,0.475812966970104,82.1552561699796,3.53206316706053,135707,0,135707,0
"6","T1.Ambient.20",0.0101562533277152,0.00514374081157501,0.0077618053162455,0.00415319419812826,0.0906219257243203,0.0465969355907212,0.168477233003308,0.0495259248862464,0.316038690847882,0.0615538860519074,0.0109781944024924,0.00753833911234637,0.00286152336568159,0.00127012986799512,0.000989164662774845,0.000439055503660511,0.00922887508175662,0.0040963739908316,0.001076128653621,0.000477655769357606,2.57309222693615,0.0807683995657793,10.8685826110739,0.341160730212211,80.6798531851291,2.53251031997565,135707,0,135707,0
"7","T2.Ambient.20",0.0020369665016363,0.00137389024611822,0.00419106382785956,0.00199876885531629,0.0322469152641654,0.0107787825094104,0.0904993186719555,0.0221193739495757,0.168810340926652,0.0198886424383543,0.00230205903285201,0.00129347381428788,0.00176709842510252,0.000379686497670317,0.000610846424921693,0.000131249134965132,0.00569917786380035,0.00122455028648504,0.000664549963780712,0.000142788112246887,2.51839743262566,0.0579509583201465,10.6375551787354,0.244781267962318,78.964886294799,1.81706460431625,135707,0,135707,0
"8","T1.High.20",0.00374063479423384,0.00249221898277014,0.00315915896390113,0.00219343909380189,0.0301861272239058,0.00966111154744273,0.124497263293732,0.0242565266670617,0.200084702943725,0.0584785835515827,0.00155861999259396,0.000656088764509887,0.000557089570783188,0.000149596156636797,0.000192573411780574,5.1712047368449e-05,0.00179670385353741,0.000482471769711741,0.000209503810782414,5.6258394587698e-05,2.74235019547631,0.0753623238549683,11.5835178140968,0.318325800375812,85.9869727315178,2.36300166805482,135707,0,135707,0
"9","T2.High.20",0.00189516092622457,0.00129544043097045,0.00222418836170853,0.00162002619865131,0.0229439919126646,0.00598154974754138,0.0992501077590523,0.0388401210541573,0.183102967657652,0.0711821068711797,0.00082198394042056,0.00082198394042056,0.000252939654699116,7.47185146955961e-05,8.74355845713114e-05,2.58285203183382e-05,0.000815771244238912,0.000240979279320266,9.51226236078228e-05,2.80992759256329e-05,2.68142313696612,0.0562504811742198,11.3261656827835,0.237598557546704,84.0765918737524,1.76374578230054,135707,0,135707,0
