"","Sample_ID","mesostigs_biomass","zerconidae_biomass","prostig_astig_biomass","juv_oribatids_biomass","oribatids_biomass","collembola_biomass","n.predator_biomass","n.bacterivore_biomass","n.fungivore_biomass","n.omnivore_biomass","protists_biomass","bacteria_biomass","fungi_biomass","labile_biomass","recal_biomass"
"1","ExRes 1",0.00522367749379652,0.00110640061228288,0.0520221919364144,0.187935682239454,0.328054510475807,0.00130946325,0.000666915221194437,0.000230537684152397,0.00215090931646455,0.00025080577278193,2.42774846301774,10.2546595310479,76.1225686029615,135707,135707
"2","ExRes 10",0.00291772977130977,0,0.0311655366751559,0.0729690948180874,0.0594284284864866,0,0.000182978377641389,6.32515349640073e-05,0.000590134824746622,6.88123946617089e-05,2.63756362097352,11.140905796699,82.7013674360075,135707,135707
"3","ExRes 11",0.003882235186722,0.00246682958091287,0.0388776715404564,0.137970391556017,0.227336343134855,0.00291957781327801,0.00199812388384396,0.000690706761806957,0.00644427228623309,0.000751431349705859,2.3735721893858,10.0258222980234,74.423860038618,135707,135707
"4","ExRes 12",0,0,0.0304977598828125,0.0687228512834821,0.13292910203683,0.000785288228794644,0.000157243354205375,5.43555126271341e-05,0.000507135217137098,5.91342643157396e-05,3.00317772775369,12.6852371975387,94.165275394161,135707,135707
"5","ExRes 13",0,0,0.0131487347997754,0.0414806192178143,0.112329071134356,0,0.000121620358791582,4.20414394072142e-05,0.000392245302675897,4.57375796853273e-05,2.67534251290018,11.300481502366,83.8859326149125,135707,135707
"6","ExRes 14",0,0.00362503615243903,0.0178523472484756,0.0525646003963415,0.130724424246951,0.00858071040243901,0.00114888241961502,0.000397142971046736,0.00370533138446969,0.000432058429512305,2.37749868851343,10.0424075877749,74.5469762525776,135707,135707
"7","ExRes 15",0.0123378287472527,0.00979954828021978,0.0257387687802198,0.0893185611758241,0.2198851854,0.00115981030714286,0.000545657908249993,0.000188621741579234,0.00175983489528918,0.000205204723185215,2.71624412457898,11.4732473833568,85.1684113347717,135707,135707
"8","ExRes 16",0,0.00161843719328494,0.0106271685980036,0.0687278402382032,0.168605246518149,0,0.00079308056823425,0.00027415022440114,0.00255781294040178,0.000298252579148035,2.78122609862847,11.7477272274114,87.2059349303544,135707,135707
"9","ExRes 17",0,0.009289155140625,0.0406636798437501,0.0545201286848958,0.0992537295208332,0,0.00106298466861577,0.000367450038632027,0.00342829726226635,0.000399754995530077,2.73912737007825,11.5699047987089,85.885920356778,135707,135707
"10","ExRes 18",0.00624671225519287,0.00132308441172106,0.0281505983390208,0.0945561177540802,0.233260990446587,0.00313183198664689,0.000206548473744348,7.13991903153031e-05,0.000666152192002119,7.76763641435561e-05,2.5109044077265,10.6059051044509,78.7299409079032,135707,135707
"11","ExRes 19",0.0124564617159763,0.0118725296471894,0.0672290986253697,0.181721111133506,0.412284722625,0.00312256621153846,0.00110785090462877,0.000382959293509352,0.00357299812073863,0.000416627771315436,2.98155132262877,12.5938885982852,93.4871748689893,135707,135707
"12","ExRes 2",0.00510337461818182,0.00810689903181818,0.0595148764213636,0.1477816194,0.240374486766818,0.00959479435909088,0.00215541060356347,0.00074507726492296,0.00695154736415817,0.000810581922423233,2.69096939823056,11.3664885006341,84.3759169228972,135707,135707
"13","ExRes 20",0.0100066168983957,0.00317917609090909,0.0643198251016043,0.166287249993315,0.452214853217914,0.00658466279545455,0.00133940172433497,0.000463001235936534,0.00431978691714528,0.00050370672892371,2.42909868963967,10.2603628048873,76.16490524542,135707,135707
"14","ExRes 21",0.00613744032069971,0.00519976031195336,0.0128037242656706,0.126562246935132,0.260432526439504,0.00153852387682216,0.000165126828603205,5.70806535041041e-05,0.000532560695503049,6.2098990304469e-05,2.01639272922103,8.51711832342781,63.2244222162315,135707,135707
"15","ExRes 22",0,0.0109822523830049,0.0242326355597291,0.209296628460591,0.299227992447044,0.00129978741317734,0.00138967262598171,0.000480378762910857,0.00448191869531252,0.00052261202893077,2.88135710779906,12.1706744244486,90.3455639862402,135707,135707
"16","ExRes 23",0.00364526758441559,0,0.0380231811525974,0.302280585136363,0.232021705373377,0,0.00185289683464227,0.000640505017214472,0.00597589159374999,0.000696816038574356,2.57836219526506,10.8908426317373,80.8450941611873,135707,135707
"17","ExRes 24",0.00276810260355029,0.00175889328106509,0.0176710138949704,0.0437223726035504,0.119809235634615,0,0.000421256887192176,0.000145619089383803,0.00135862150763889,0.000158421424154512,2.58580672185737,10.9222878521698,81.0785188733735,135707,135707
"18","ExRes 25",0,0.00635457643824228,0.0490982038948932,0.136022274388361,0.347977446016033,0,0.000758857579361102,0.000262320102147432,0.00244743827317995,0.000285382392805812,2.83445357856749,11.9725568144897,88.8748938669753,135707,135707
"19","ExRes 26",0,0,0.0174808661669118,0.243133362799632,0.404604909164338,0,0.000152329499386457,5.2656902857536e-05,0.000491287241601563,5.72863185558726e-05,2.8026962895304,11.8384159874373,87.8791373253916,135707,135707
"20","ExRes 27",0,0.00321354556216216,0.0279606679932433,0.0482620153445946,0.115885435548649,0,0.00266673525643466,0.000921830767582309,0.0086006519649332,0.00100287499151248,2.74382044219533,11.589728045412,86.0330726296074,135707,135707
"21","ExRes 28",0,0.0027867465421875,0.0156473425558594,0.0274204176621094,0.0725792897121094,0,0.000410776178120781,0.000141996142537176,0.00132481952791432,0.000154479960150668,2.82801513924653,11.9453612445394,88.6730152348303,135707,135707
"22","ExRes 29",0,0.00173493948151752,0.0298488745870623,0.0521117091755837,0.0834194769513616,0,0.000571705775475096,0.000197625907020876,0.00184384347465278,0.000215000504209695,2.79257330188935,11.7956571129998,87.561728898237,135707,135707
"23","ExRes 3",0.0116709190852391,0.0148317487484408,0.098980472764553,0.236189438490125,0.445713213648649,0.0219423571621622,0.00487454398036661,0.00168502089144115,0.01572119173125,0.00183316219378792,2.60931233069158,11.0215740918015,81.8155422299087,135707,135707
"24","ExRes 30",0,0.00105783973131673,0.0386207981414591,0.144626139982207,0.224645451869217,0.000625994887010676,0.000164487252858615,5.68595664658841e-05,0.000530497960414833,6.18584660462475e-05,2.07475791077139,8.76364924472547,65.0544748778935,135707,135707
"25","ExRes 31",0,0,0.0189194503957997,0.185025452399031,0.150083183895799,0,0.000543064168935674,0.000187725143877134,0.00175146966702874,0.00020422929966443,2.75053486870473,11.6180893681968,86.2436048986529,135707,135707
"26","ExRes 32",0.00655807485981308,0.00833419526635513,0.0418654394614487,0.112217351179907,0.300544003408878,0.0041099197021028,0.000448577666904903,0.000155063272218511,0.00144673543539111,0.000168695907403797,2.57546265646199,10.8785951589553,80.754178506285,135707,135707
"27","ExRes 33",0.007064235,0,0.0251520522495805,0.0790358912479027,0.11990383432047,0.0017708513078859,0.000175228705176577,6.05726464243552e-05,0.000565140879227941,6.58979873583894e-05,2.54964896376332,10.7695597156644,79.944784690046,135707,135707
"28","ExRes 34",0,0.00154283545588235,0.0151961156509516,0.0639193855536332,0.10509218419853,0.00456499731617647,0.000846274996591425,0.000292538349208534,0.00272937356445313,0.000318257325310404,2.20907513257009,9.33099689201419,69.266019890354,135707,135707
"29","ExRes 35",0,0.0089559716707317,0.0551117686237448,0.0861352695570301,0.194805024368006,0.00681409355487805,0.00228707595717481,0.000790591034499702,0.00737618939771535,0.00086009710772963,2.46615913572687,10.4169038397112,77.3269434024629,135707,135707
"30","ExRes 36",0,0.00143600465942029,0.0247058317838164,0.0743667569444444,0.120830627242754,0.000849780498792268,0.000420219308652294,0.000145260421675962,0.00135527514924569,0.000158031223602407,2.69824686409172,11.3972280668585,84.6041034103818,135707,135707
"31","ExRes 37",0.00258935059040591,0.0180984277278597,0.0324109034916974,0.17211650783441,0.296662438789207,0,0.000462773162693033,0.000159970337795046,0.00149251820233386,0.000174034385486195,2.94189800384602,12.4263954293728,92.2438366379674,135707,135707
"32","ExRes 38",0,0,0.00856077470394736,0.0405103123355264,0.0783582075164472,0,7.0036551442049e-05,2.42100702793269e-05,0.000225879191540948,2.63385372670679e-05,2.56337797861816,10.8275502262868,80.3752608662475,135707,135707
"33","ExRes 39",0,0,0.0372742833844538,0.432711411846113,0.472914828893383,0.00110864220535714,0.000470717766344415,0.000162716609688523,0.00151814083241685,0.000177022100258491,2.69040694739388,11.3641127430459,84.3582811574736,135707,135707
"34","ExRes 4",0.00265298302457466,0.00337148920037807,0.0228030967712665,0.0838081017391305,0.189126199162571,0,0.000386868569870366,0.000133731816781044,0.00124771362946429,0.000145489062999042,2.57606449448903,10.8811372856023,80.7730492654262,135707,135707
"35","ExRes 40",0.00331779673758865,0.00421635410638298,0.0488660610868795,0.227087594822695,0.32943791075,0.00249510018794326,0.0022003149911377,0.000760599707942187,0.00709637126757813,0.000827469045807049,2.23334157478139,9.4334968448295,70.0268993389949,135707,135707
"36","ExRes 41",0,0,0.00443773118504736,0.154980723998647,0.203073936448579,0,0.000757344403729275,0.000261797031156111,0.0024425580373411,0.000284813335193039,2.48251640810538,10.4859959477501,77.8398291514433,135707,135707
"37","ExRes 42",0.00691343852216749,0.00878580190640395,0.0588453467635468,0.124364663288178,0.205352543836207,0.00346609976847291,0.00215374146783536,0.000744500282012591,0.00694616413181629,0.000809954213138961,2.48787890198902,10.5086467906409,78.0079712859182,135707,135707
"38","ExRes 43",0.00328671667447308,0,0.0137132784484778,0.103827835644028,0.259407873876464,0.00247172688407494,0.000649939197382214,0.000224669452192154,0.0020961588975,0.00024442162583839,2.5746378302518,10.875111143998,80.7283159053084,135707,135707
"39","ExRes 44",0,0.0123284639654377,0.0707019425702764,0.251126599786866,0.411651412759217,0.0121593016071428,0.00299823141649533,0.00103642158005309,0.00966978062834821,0.00112754023824257,2.87490657134383,12.1434277569504,90.1433060458811,135707,135707
"40","ExRes 45",0.01096428140625,0.0209005990664062,0.0341612848515625,0.355984369648437,0.400116597130859,0.0054970176015625,0.00257143375111082,0.000888887167503359,0.00829328921602636,0.000967035102227573,2.7876625188505,11.7749142688126,87.4077502532237,135707,135707
"41","ExRes 5",0.0296081860759494,0.0238304064367089,0.272522416791139,0.355943773871308,0.472397497466245,0.0408217340875527,0.00782756828307934,0.00270581538279174,0.0252451721152563,0.00294370146287106,2.54738838857032,10.7600111856986,79.8739038748246,135707,135707
"42","ExRes 6",0.00221012286614172,0.00140434471417322,0.0100521535322835,0.0785453488937008,0.157555526546457,0.00249313554212598,0.0017323746989048,0.000598843208968056,0.00558718823782168,0.000651491465929531,2.52437932484464,10.6628223219307,79.1524497956114,135707,135707
"43","ExRes 7",0,0.00116417610117493,0.0119256569755222,0.0868168782375979,0.0839639905084858,0.000688921265992167,0.000507764997954855,0.00017552300952512,0.00163762413867188,0.000190954395186242,2.77051351422983,11.7024779326928,86.8700395716619,135707,135707
"44","ExRes 8",0.00728422847750865,0.00771417727941176,0.0667625465903977,0.113456909357699,0.259639513902249,0.00456499731617647,0.00234944236891544,0.000812149708937854,0.00757733114974663,0.000883551147456342,2.73417576845648,11.548989539349,85.7306618364288,135707,135707
"45","ExRes 9",0.00327139398601399,0,0.0148790617552448,0.0387539211713287,0.124934764431818,0.00123010184090909,0.000970595040338483,0.000335513009357752,0.0031303257871958,0.000365010171329454,2.41161227511167,10.1865012701628,75.6166150045633,135707,135707
