"","Sample_ID","destructive_time","moisture_tx","temp_tx","block_effect","total_consumption","total_Cmin","total_Nmin"
"1","ExRes 22","T0","Ambient",12,"low","6.39468129358042","1.53149444170674","0.136214030477073"
"2","ExRes 23","T0","Ambient",12,"low","5.95521924738359","1.4522388788095","0.126958675649692"
"3","ExRes 39","T0","Ambient",12,"low","8.83533205502135","2.16460577671256","0.18752617587194"
"4","ExRes 44","T0","Ambient",12,"low","8.98978743450703","2.15569826253444","0.19130775930249"
"5","ExRes 45","T0","Ambient",12,"low","10.9717615475628","2.62585773974644","0.235651998662036"
